COD_CLIENTE,DEPARTAMENTO,MODO_PAGAMENTO,COD_FILIAL,UF,QTDE,VALOR_TOTAL,DATA,MES_ANO
35001645,PNEU,FATURADO,54,RR,100,140000,2024-07-02 00:00:00,07/2024
53007667,PNEU,FATURADO,9,AM,700,121100,2024-07-05 00:00:00,07/2024
2937400,PNEU,FATURADO,31,AM,200,100000,2024-06-07 00:00:00,06/2024
66804100,PNEU,FATURADO,58,PA,40,86607.2,2024-06-26 00:00:00,06/2024
18000195,PNEU,DEPOSITO,18,AM,50,71500,2024-07-02 00:00:00,07/2024
28003251,PNEU,FATURADO,72,PA,34,70722.04,2024-06-12 00:00:00,06/2024
31039974,PNEU,FATURADO,31,AM,40,56800,2024-06-06 00:00:00,06/2024
31039974,PNEU,FATURADO,31,AM,32,55052.8,2024-06-18 00:00:00,06/2024
38000777,PNEU,DEPOSITO,35,RR,28,51256.8,2024-06-07 00:00:00,06/2024
60006491,PNEU,FATURADO,46,AP,24,50246.4,2024-06-11 00:00:00,06/2024
11012564,PNEU,DEPOSITO,11,MT,24,47327.04,2024-06-12 00:00:00,06/2024
11012564,PNEU,DEPOSITO,11,MT,24,47327.04,2024-06-24 00:00:00,06/2024
10000040,PNEU,FATURADO,10,MT,24,44880,2024-06-05 00:00:00,06/2024
36014372,PNEU,FATURADO,36,AM,85,40681,2024-06-06 00:00:00,06/2024
31039974,PNEU,FATURADO,31,AM,100,39550,2024-06-06 00:00:00,06/2024
55003539,PNEU,FATURADO,55,PA,20,39444,2024-06-07 00:00:00,06/2024
10004921,PNEU,FATURADO,10,MT,24,37680,2024-06-28 00:00:00,06/2024
32028817,LUBRIFICANTES E ADITIVOS,FATURADO,32,AM,12,37620,2024-06-04 00:00:00,06/2024
60008207,PNEU,FATURADO,60,PA,22,35860,2024-06-27 00:00:00,06/2024
66801287,PNEU,FATURADO,68,PA,12,35335.2,2024-07-05 00:00:00,07/2024
66804100,PNEU,FATURADO,58,PA,20,35099.8,2024-06-26 00:00:00,06/2024
45000737,LUBRIFICANTES E ADITIVOS,FATURADO,54,RR,1584,34980,2024-07-03 00:00:00,07/2024
28004028,PNEU,FATURADO,18,AM,24,32640,2024-07-04 00:00:00,07/2024
60000747,PNEU,FATURADO,10,MT,18,30665.52,2024-07-04 00:00:00,07/2024
18000195,PNEU,FATURADO,18,AM,20,30420,2024-06-27 00:00:00,06/2024
31039974,PNEU,FATURADO,31,AM,176,30272,2024-07-05 00:00:00,07/2024
31039974,PNEU,FATURADO,31,AM,22,30093.8,2024-06-18 00:00:00,06/2024
84001034,PNEU,FATURADO,84,MT,16,29835.04,2024-06-28 00:00:00,06/2024
32006479,AUTOPECAS,FATURADO,46,AP,34,29641.2,2024-06-13 00:00:00,06/2024
66801287,PNEU,FATURADO,59,PA,12,29232,2024-06-06 00:00:00,06/2024
20213436,PNEU,FATURADO,14,MT,16,28000,2024-06-13 00:00:00,06/2024
36016247,PNEU,DEPOSITO,38,AM,20,26300,2024-06-13 00:00:00,06/2024
